"Location Code","Company","Address Line 1","Added By","Note Date","Note Time","Note"
"129939","CHESTERS AND RITAS ITALIAN ICES","1347 JOHN F KENNEDY BLVD BAYONNE 07002","CARRASQUIL","08/25/2022","00:00:07","Service: PEST ELIM MAINT Serviced traps and devices in kitchen. Checked all tin cats everything was fine  All monitors and glue boards were fine no issues to note. Sprayed all necessary areas."
"118180","TOMMY'S PIZZA","11711 Liberty Ave South Richmond Hill 11419","ROSARIO A.","08/25/2022","00:04:12","Location need an actisol asap but today I found out that they been cleaning with bleach every night to my knowledge bleach kill our chemicals. So nothing was going to change with the infestation. But I recommend roach clean up."
"126421","RENATOS PASTRY SHOPPE","1646 FOREST AVE STATEN ISLAND 10302","GUITEREZ O","08/25/2022","00:05:42","Reset kechalls spray monitors snaps no pest actyviti"
"127198","Radhuni","1203 Liberty Ave Brooklyn 11208","GAMBLE","08/25/2022","00:11:58","Please reschedule fir next week"
"130462","Bettola Nyc","412 Amsterdam Ave New York 10024","BLAKAJ A.","08/25/2022","00:12:29","Arrived at location spoke to gega she informed me that she called and canceled services with liberty due to location closing down next week and that she doesn't need services anymore."
"115477","66S FUSION","130 FLUSHING AVE BROOKLYN 11205","THOMAS S.","08/25/2022","00:16:40","Came to location and they were closed I called all numbers no answer there is no cleaning crew in there to let me in it's completely empty took a picture"
"126924","COLD STONE CREAMERY","17660 Union Tpke Fresh Meadows 11366","ROSARIO A.","08/25/2022","00:18:11","Service: PEST ELIM MAINT IPm checked all areas and equipment fan sprayed entire establishment replaced monitors"
"121411","Holy Pita","10 Clermont Ave Brooklyn 11205","THOMAS S.","08/25/2022","00:21:41","Service: PEST ELIM MAINT Sprayed kitchen and bathroom also restaurant and basement changed all glue boards and signed doh saw no activity"
"122334","PEPE GIALLO","195 10th Ave New York 10011","LITTLE T.","08/25/2022","00:22:11","Service: PEST ELIM MAINT Fly activity at bar and basement. Water and dirty dishes left out next to sink. Garbage can full of food and garbage left open in kitchen. Spot Sprayed and fan sprayed entire establishment.  Updated doh log"
"126924","COLD STONE CREAMERY","17660 Union Tpke Fresh Meadows 11366","ROSARIO A.","08/25/2022","00:22:23","Lot of standing water see pick."
